k,mu,c,n,D1,D2,D3,D4,multiplicity_test
150,75,75,747,4653,21456009,32446341477,82163643270381,nonconstant_conjugate_multiplicity
151,75,76,756,4680,21706704,33352974720,83655166127616,noninteger_multiplicity
152,38,57,1965,3507,12102057,16362290763,11425228479045,nonconstant_conjugate_multiplicity
152,38,76,1663,3809,14311489,26187031169,10696935059089,nonconstant_conjugate_multiplicity
152,76,76,757,4715,22034233,33765703955,86646690337537,nonconstant_conjugate_multiplicity
153,38,51,2146,3362,11104756,12167279720,1176951004240,nonconstant_conjugate_multiplicity
153,38,60,1939,3569,12539473,18036930113,12628462236421,nonconstant_conjugate_multiplicity
153,38,68,1801,3707,13543561,22456505555,14702974552765,nonconstant_conjugate_multiplicity
153,38,69,1786,3722,13654996,22962134600,14477858346640,nonconstant_conjugate_multiplicity
153,51,51,1522,3986,15689908,22494257576,66482928281872,nonconstant_conjugate_multiplicity
153,51,57,1426,4082,16464436,26197639208,73419201098320,nonconstant_conjugate_multiplicity
153,51,68,1294,4214,17559508,31659428024,72447278702128,nonconstant_conjugate_multiplicity
153,51,72,1256,4252,17881216,33312821248,68596035911680,nonconstant_conjugate_multiplicity
153,51,76,1222,4286,18171508,34823389976,63221759549872,nonconstant_conjugate_multiplicity
153,51,102,1066,4442,19533076,42138961928,1172531959600,nonconstant_conjugate_multiplicity
153,57,64,1174,4334,18585268,31884041816,92354406185776,nonconstant_conjugate_multiplicity
153,57,68,1138,4370,18898612,33518197160,89152504578544,nonconstant_conjugate_multiplicity
153,57,72,1106,4402,19179316,34999298344,84317473160560,nonconstant_conjugate_multiplicity
153,57,96,970,4538,20395156,41598085256,30532943863024,nonconstant_conjugate_multiplicity
153,57,102,946,4562,20613556,42814424744,12331758815920,nonconstant_conjugate_multiplicity
153,68,85,838,4670,21610612,38364778520,70727366982160,nonconstant_conjugate_multiplicity
153,68,90,819,4689,21788433,39354669153,57771193162221,nonconstant_conjugate_multiplicity
153,68,95,802,4706,21948148,40248968552,43759733892688,nonconstant_conjugate_multiplicity
153,68,102,781,4727,22146241,41364960695,22635986368165,nonconstant_conjugate_multiplicity
153,72,81,800,4708,21966976,36644962816,80721801478144,nonconstant_conjugate_multiplicity
